\begin{longtable}{lrrrrr}
\toprule
testcase & Nitems & value & weight & time & optimal \\
/02StronglyCorrelated/n00200/R10000/s009.kp & 200 & 608588 & 465588 & 37 & True \\
/02StronglyCorrelated/n00200/R01000/s009.kp & 200 & 60904 & 46604 & 9 & True \\
/02StronglyCorrelated/n00050/R10000/s009.kp & 50 & 144240 & 108240 & 0 & True \\
/02StronglyCorrelated/n00050/R01000/s009.kp & 50 & 14436 & 10836 & 0 & True \\
/02StronglyCorrelated/n00500/R10000/s009.kp & 500 & 1556033 & 1198033 & 180 & False \\
/02StronglyCorrelated/n00500/R01000/s009.kp & 500 & 155718 & 119918 & 180 & False \\
/03InverseStronglyCorrelated/n01000/R10000/s009.kp & 1000 & 2575844 & 2882844 & 180 & False \\
/03InverseStronglyCorrelated/n01000/R01000/s009.kp & 1000 & 258156 & 288956 & 180 & False \\
/03InverseStronglyCorrelated/n02000/R10000/s009.kp & 2000 & 5303326 & 5932326 & 180 & False \\
/03InverseStronglyCorrelated/n02000/R01000/s009.kp & 2000 & 531197 & 594197 & 180 & False \\
/03InverseStronglyCorrelated/n00100/R10000/s009.kp & 100 & 242494 & 272494 & 0 & True \\
/03InverseStronglyCorrelated/n00100/R01000/s009.kp & 100 & 24273 & 27273 & 0 & True \\
/03InverseStronglyCorrelated/n10000/R10000/s009.kp & 10000 & 26336830 & 29472830 & 180 & False \\
/03InverseStronglyCorrelated/n10000/R01000/s009.kp & 10000 & 2635794 & 2949494 & 180 & False \\
/03InverseStronglyCorrelated/n05000/R10000/s009.kp & 5000 & 13213919 & 14781919 & 180 & False \\
/03InverseStronglyCorrelated/n05000/R01000/s009.kp & 5000 & 1322116 & 1478916 & 180 & False \\
/03InverseStronglyCorrelated/n00200/R10000/s009.kp & 200 & 503570 & 564570 & 0 & True \\
/03InverseStronglyCorrelated/n00200/R01000/s009.kp & 200 & 50392 & 56492 & 0 & True \\
/03InverseStronglyCorrelated/n00050/R10000/s009.kp & 50 & 117989 & 132989 & 0 & True \\
/03InverseStronglyCorrelated/n00050/R01000/s009.kp & 50 & 11811 & 13311 & 0 & True \\
/03InverseStronglyCorrelated/n00500/R10000/s009.kp & 500 & 1292641 & 1444641 & 180 & False \\
/03InverseStronglyCorrelated/n00500/R01000/s009.kp & 500 & 129332 & 144532 & 180 & False \\
/04AlmostStronglyCorrelated/n00200/R10000/s097.kp & 200 & 654568 & 514576 & 0 & True \\
/04AlmostStronglyCorrelated/n00200/R01000/s097.kp & 200 & 65504 & 51501 & 0 & True \\
/04AlmostStronglyCorrelated/n00050/R10000/s097.kp & 50 & 151198 & 115092 & 0 & True \\
/04AlmostStronglyCorrelated/n00050/R01000/s097.kp & 50 & 15134 & 11519 & 0 & True \\
/04AlmostStronglyCorrelated/n05000/R10000/s097.kp & 5000 & 15871795 & 12367138 & 180 & False \\
/04AlmostStronglyCorrelated/n05000/R01000/s097.kp & 5000 & 1588106 & 1237716 & 180 & False \\
/04AlmostStronglyCorrelated/n01000/R10000/s097.kp & 1000 & 3188355 & 2484141 & 180 & False \\
/04AlmostStronglyCorrelated/n01000/R01000/s097.kp & 1000 & 319110 & 248678 & 180 & False \\
/04AlmostStronglyCorrelated/n02000/R10000/s097.kp & 2000 & 6363284 & 4963083 & 0 & True \\
/04AlmostStronglyCorrelated/n02000/R01000/s097.kp & 2000 & 636399 & 496434 & 180 & False \\
/04AlmostStronglyCorrelated/n00500/R10000/s097.kp & 500 & 1611108 & 1260301 & 180 & False \\
/04AlmostStronglyCorrelated/n00500/R01000/s097.kp & 500 & 161217 & 126139 & 180 & False \\
/04AlmostStronglyCorrelated/n00100/R10000/s097.kp & 100 & 319490 & 249272 & 0 & True \\
/04AlmostStronglyCorrelated/n00100/R01000/s097.kp & 100 & 31979 & 24950 & 0 & True \\
/04AlmostStronglyCorrelated/n10000/R10000/s097.kp & 10000 & 31799634 & 24775458 & 180 & False \\
/04AlmostStronglyCorrelated/n10000/R01000/s097.kp & 10000 & 3182496 & 2480115 & 11 & True \\
/05SubsetSum/n01000/R01000/s084.kp & 1000 & 254029 & 254029 & 0 & True \\
/05SubsetSum/n01000/R10000/s084.kp & 1000 & 2538064 & 2538064 & 0 & True \\
/05SubsetSum/n00200/R01000/s084.kp & 200 & 51896 & 51896 & 0 & True \\
/05SubsetSum/n00200/R10000/s084.kp & 200 & 518499 & 518499 & 0 & True \\
/05SubsetSum/n00100/R01000/s084.kp & 100 & 25500 & 25500 & 0 & True \\
/05SubsetSum/n00100/R10000/s084.kp & 100 & 254769 & 254769 & 0 & True \\
/05SubsetSum/n10000/R01000/s084.kp & 10000 & 2498215 & 2498215 & 0 & True \\
/05SubsetSum/n10000/R10000/s084.kp & 10000 & 24959783 & 24959783 & 0 & True \\
/05SubsetSum/n00500/R01000/s084.kp & 500 & 128452 & 128452 & 0 & True \\
/05SubsetSum/n00500/R10000/s084.kp & 500 & 1283388 & 1283388 & 0 & True \\
/05SubsetSum/n00050/R01000/s084.kp & 50 & 11705 & 11705 & 0 & True \\
/05SubsetSum/n00050/R10000/s084.kp & 50 & 116934 & 116934 & 0 & True \\
/05SubsetSum/n02000/R01000/s084.kp & 2000 & 495050 & 495050 & 0 & True \\
/05SubsetSum/n02000/R10000/s084.kp & 2000 & 4946057 & 4946057 & 0 & True \\
/05SubsetSum/n05000/R01000/s084.kp & 5000 & 1254329 & 1254329 & 0 & True \\
/05SubsetSum/n05000/R10000/s084.kp & 5000 & 12532088 & 12532088 & 0 & True \\
/06UncorrelatedWithSimilarWeights/n01000/R10000/s009.kp & 1000 & 367586 & 49525849 & 0 & True \\
/06UncorrelatedWithSimilarWeights/n01000/R01000/s009.kp & 1000 & 367586 & 49525849 & 0 & True \\
/06UncorrelatedWithSimilarWeights/n02000/R10000/s009.kp & 2000 & 746070 & 99047618 & 180 & False \\
/06UncorrelatedWithSimilarWeights/n02000/R01000/s009.kp & 2000 & 746070 & 99047618 & 180 & False \\
/06UncorrelatedWithSimilarWeights/n00100/R10000/s009.kp & 100 & 34671 & 4902529 & 0 & True \\
/06UncorrelatedWithSimilarWeights/n00100/R01000/s009.kp & 100 & 34671 & 4902529 & 0 & True \\
/06UncorrelatedWithSimilarWeights/n10000/R10000/s009.kp & 10000 & 3708622 & 495246594 & 180 & False \\
/06UncorrelatedWithSimilarWeights/n10000/R01000/s009.kp & 10000 & 3708622 & 495246594 & 180 & False \\
/06UncorrelatedWithSimilarWeights/n05000/R10000/s009.kp & 5000 & 1861639 & 247623037 & 180 & False \\
/06UncorrelatedWithSimilarWeights/n05000/R01000/s009.kp & 5000 & 1861639 & 247623037 & 180 & False \\
/06UncorrelatedWithSimilarWeights/n00200/R10000/s009.kp & 200 & 72026 & 9904722 & 0 & True \\
/06UncorrelatedWithSimilarWeights/n00200/R01000/s009.kp & 200 & 72026 & 9904722 & 0 & True \\
/06UncorrelatedWithSimilarWeights/n00050/R10000/s009.kp & 50 & 16781 & 2401092 & 0 & True \\
/06UncorrelatedWithSimilarWeights/n00050/R01000/s009.kp & 50 & 16781 & 2401092 & 0 & True \\
/06UncorrelatedWithSimilarWeights/n00500/R10000/s009.kp & 500 & 184485 & 24712110 & 180 & False \\
/06UncorrelatedWithSimilarWeights/n00500/R01000/s009.kp & 500 & 184485 & 24712110 & 180 & False \\
/07SpannerUncorrelated/n00200/R10000/s039.kp & 200 & 141320 & 135868 & 180 & False \\
/07SpannerUncorrelated/n00200/R01000/s039.kp & 200 & 14307 & 13424 & 180 & False \\
/07SpannerUncorrelated/n00050/R10000/s039.kp & 50 & 36080 & 35094 & 180 & False \\
/07SpannerUncorrelated/n00050/R01000/s039.kp & 50 & 3662 & 3492 & 1 & True \\
/07SpannerUncorrelated/n10000/R10000/s039.kp & 10000 & 7628020 & 7325730 & 180 & False \\
/07SpannerUncorrelated/n10000/R01000/s039.kp & 10000 & 773057 & 724280 & 180 & False \\
/07SpannerUncorrelated/n05000/R10000/s039.kp & 5000 & 3779510 & 3632933 & 180 & False \\
/07SpannerUncorrelated/n05000/R01000/s039.kp & 5000 & 382981 & 359254 & 180 & False \\
/07SpannerUncorrelated/n01000/R10000/s039.kp & 1000 & 724750 & 692591 & 180 & False \\
/07SpannerUncorrelated/n01000/R01000/s039.kp & 1000 & 73503 & 68389 & 180 & False \\
/07SpannerUncorrelated/n00500/R10000/s039.kp & 500 & 373290 & 358457 & 180 & False \\
/07SpannerUncorrelated/n00500/R01000/s039.kp & 500 & 37832 & 35447 & 180 & False \\
/07SpannerUncorrelated/n00100/R10000/s039.kp & 100 & 67980 & 65042 & 180 & False \\
/07SpannerUncorrelated/n00100/R01000/s039.kp & 100 & 6868 & 6398 & 180 & False \\
/07SpannerUncorrelated/n02000/R10000/s039.kp & 2000 & 1502400 & 1443556 & 180 & False \\
/07SpannerUncorrelated/n02000/R01000/s039.kp & 2000 & 152251 & 142745 & 180 & False \\
/08SpannerWeaklyCorrelated/n00200/R10000/s053.kp & 200 & 593307 & 372949 & 180 & False \\
/08SpannerWeaklyCorrelated/n00200/R01000/s053.kp & 200 & 59370 & 37322 & 180 & False \\
/08SpannerWeaklyCorrelated/n02000/R10000/s053.kp & 2000 & 5996133 & 3769131 & 180 & False \\
/08SpannerWeaklyCorrelated/n02000/R01000/s053.kp & 2000 & 600237 & 376893 & 180 & False \\
/08SpannerWeaklyCorrelated/n00500/R10000/s053.kp & 500 & 1491633 & 937631 & 180 & False \\
/08SpannerWeaklyCorrelated/n00500/R01000/s053.kp & 500 & 149382 & 93798 & 180 & False \\
/08SpannerWeaklyCorrelated/n05000/R10000/s053.kp & 5000 & 14906034 & 9369838 & 180 & False \\
/08SpannerWeaklyCorrelated/n05000/R01000/s053.kp & 5000 & 1492272 & 937008 & 180 & False \\
/08SpannerWeaklyCorrelated/n00100/R10000/s053.kp & 100 & 291001 & 183147 & 180 & False \\
/08SpannerWeaklyCorrelated/n00100/R01000/s053.kp & 100 & 29154 & 18306 & 180 & False \\
/08SpannerWeaklyCorrelated/n10000/R10000/s053.kp & 10000 & 29934333 & 18816531 & 180 & False \\
/08SpannerWeaklyCorrelated/n10000/R01000/s053.kp & 10000 & 2996799 & 1881711 & 180 & False \\
/08SpannerWeaklyCorrelated/n01000/R10000/s053.kp & 1000 & 3021876 & 1899532 & 180 & False \\
/08SpannerWeaklyCorrelated/n01000/R01000/s053.kp & 1000 & 302535 & 190007 & 180 & False \\
/08SpannerWeaklyCorrelated/n00050/R10000/s053.kp & 50 & 137709 & 86563 & 0 & True \\
/08SpannerWeaklyCorrelated/n00050/R01000/s053.kp & 50 & 13746 & 8642 & 0 & True \\
/09SpannerStronglyCorrelated/n00200/R10000/s039.kp & 200 & 755330 & 136330 & 184 & False \\
/09SpannerStronglyCorrelated/n00200/R01000/s039.kp & 200 & 75533 & 13633 & 180 & False \\
/09SpannerStronglyCorrelated/n00050/R10000/s039.kp & 50 & 179590 & 34590 & 3 & True \\
/09SpannerStronglyCorrelated/n00050/R01000/s039.kp & 50 & 17959 & 3459 & 3 & True \\
/09SpannerStronglyCorrelated/n10000/R10000/s039.kp & 10000 & 41214640 & 7382640 & 180 & False \\
/09SpannerStronglyCorrelated/n10000/R01000/s039.kp & 10000 & 4121464 & 738264 & 180 & False \\
/09SpannerStronglyCorrelated/n05000/R10000/s039.kp & 5000 & 20345300 & 3659300 & 180 & False \\
/09SpannerStronglyCorrelated/n05000/R01000/s039.kp & 5000 & 2034530 & 365930 & 180 & False \\
/09SpannerStronglyCorrelated/n01000/R10000/s039.kp & 1000 & 3994880 & 698880 & 180 & False \\
/09SpannerStronglyCorrelated/n01000/R01000/s039.kp & 1000 & 399488 & 69888 & 180 & False \\
/09SpannerStronglyCorrelated/n00500/R10000/s039.kp & 500 & 2016720 & 360720 & 180 & False \\
/09SpannerStronglyCorrelated/n00500/R01000/s039.kp & 500 & 201672 & 36072 & 180 & False \\
/09SpannerStronglyCorrelated/n00100/R10000/s039.kp & 100 & 372530 & 65530 & 180 & False \\
/09SpannerStronglyCorrelated/n00100/R01000/s039.kp & 100 & 37253 & 6553 & 180 & False \\
/09SpannerStronglyCorrelated/n02000/R10000/s039.kp & 2000 & 8102480 & 1454480 & 180 & False \\
/09SpannerStronglyCorrelated/n02000/R01000/s039.kp & 2000 & 810248 & 145448 & 180 & False \\
/10MultipleStronglyCorrelated/n10000/R01000/s095.kp & 10000 & 4032348 & 2483748 & 180 & False \\
/10MultipleStronglyCorrelated/n10000/R10000/s095.kp & 10000 & 40288426 & 24814426 & 180 & False \\
/10MultipleStronglyCorrelated/n00500/R01000/s095.kp & 500 & 202090 & 123090 & 180 & False \\
/10MultipleStronglyCorrelated/n00500/R10000/s095.kp & 500 & 2000825 & 1229825 & 0 & True \\
/10MultipleStronglyCorrelated/n05000/R01000/s095.kp & 5000 & 2005003 & 1231503 & 180 & False \\
/10MultipleStronglyCorrelated/n05000/R10000/s095.kp & 5000 & 20066897 & 12303897 & 180 & False \\
/10MultipleStronglyCorrelated/n00100/R01000/s095.kp & 100 & 40138 & 25038 & 0 & True \\
/10MultipleStronglyCorrelated/n00100/R10000/s095.kp & 100 & 402182 & 250182 & 2 & True \\
/10MultipleStronglyCorrelated/n02000/R01000/s095.kp & 2000 & 804622 & 495822 & 180 & False \\
/10MultipleStronglyCorrelated/n02000/R10000/s095.kp & 2000 & 8043326 & 4953326 & 180 & False \\
/10MultipleStronglyCorrelated/n00200/R01000/s095.kp & 200 & 79502 & 47802 & 0 & True \\
/10MultipleStronglyCorrelated/n00200/R10000/s095.kp & 200 & 784648 & 477648 & 180 & False \\
/10MultipleStronglyCorrelated/n00050/R01000/s095.kp & 50 & 19242 & 11442 & 0 & True \\
/10MultipleStronglyCorrelated/n00050/R10000/s095.kp & 50 & 194328 & 114328 & 0 & True \\
/10MultipleStronglyCorrelated/n01000/R01000/s095.kp & 1000 & 400426 & 244026 & 180 & False \\
/10MultipleStronglyCorrelated/n01000/R10000/s095.kp & 1000 & 3988028 & 2438028 & 180 & False \\
/11ProfitCeiling/n10000/R01000/s095.kp & 10000 & 2482824 & 2483750 & 180 & False \\
/11ProfitCeiling/n10000/R10000/s095.kp & 10000 & 24814254 & 24815167 & 180 & False \\
/11ProfitCeiling/n00500/R01000/s095.kp & 500 & 123063 & 123094 & 180 & False \\
/11ProfitCeiling/n00500/R10000/s095.kp & 500 & 1229793 & 1229831 & 180 & False \\
/11ProfitCeiling/n05000/R01000/s095.kp & 5000 & 1231149 & 1231624 & 180 & False \\
/11ProfitCeiling/n05000/R10000/s095.kp & 5000 & 12304590 & 12305048 & 180 & False \\
/11ProfitCeiling/n00100/R01000/s095.kp & 100 & 25029 & 25040 & 0 & True \\
/11ProfitCeiling/n00100/R10000/s095.kp & 100 & 250182 & 250187 & 0 & True \\
/11ProfitCeiling/n02000/R01000/s095.kp & 2000 & 495624 & 495824 & 180 & False \\
/11ProfitCeiling/n02000/R10000/s095.kp & 2000 & 4953603 & 4953787 & 180 & False \\
/11ProfitCeiling/n00200/R01000/s095.kp & 200 & 47793 & 47807 & 0 & True \\
/11ProfitCeiling/n00200/R10000/s095.kp & 200 & 477633 & 477649 & 122 & True \\
/11ProfitCeiling/n00050/R01000/s095.kp & 50 & 11439 & 11444 & 0 & True \\
/11ProfitCeiling/n00050/R10000/s095.kp & 50 & 114336 & 114336 & 11 & True \\
/11ProfitCeiling/n01000/R01000/s095.kp & 1000 & 243945 & 244026 & 180 & False \\
/11ProfitCeiling/n01000/R10000/s095.kp & 1000 & 2437947 & 2438032 & 180 & False \\
/12Circle/n10000/R01000/s095.kp & 10000 & 52334995 & 2483752 & 180 & False \\
/12Circle/n10000/R10000/s095.kp & 10000 & 1654260902 & 24815168 & 180 & False \\
/12Circle/n00500/R01000/s095.kp & 500 & 2593724 & 123095 & 180 & False \\
/12Circle/n00500/R10000/s095.kp & 500 & 81984649 & 1229832 & 180 & False \\
/12Circle/n05000/R01000/s095.kp & 5000 & 25951469 & 1231624 & 180 & False \\
/12Circle/n05000/R10000/s095.kp & 5000 & 820295200 & 12305050 & 180 & False \\
/12Circle/n00100/R01000/s095.kp & 100 & 527616 & 25040 & 0 & True \\
/12Circle/n00100/R10000/s095.kp & 100 & 16678289 & 250187 & 0 & True \\
/12Circle/n02000/R01000/s095.kp & 2000 & 10447467 & 495824 & 180 & False \\
/12Circle/n02000/R10000/s095.kp & 2000 & 330235769 & 4953787 & 180 & False \\
/12Circle/n00200/R01000/s095.kp & 200 & 1007338 & 47807 & 180 & False \\
/12Circle/n00200/R10000/s095.kp & 200 & 31841721 & 477650 & 180 & False \\
/12Circle/n00050/R01000/s095.kp & 50 & 241156 & 11445 & 1 & True \\
/12Circle/n00050/R10000/s095.kp & 50 & 7622148 & 114338 & 0 & True \\
/12Circle/n01000/R01000/s095.kp & 1000 & 5141874 & 244027 & 180 & False \\
/12Circle/n01000/R10000/s095.kp & 1000 & 162527317 & 2438033 & 179 & True \\
\end{longtable}
